Weekly Control-M_Jobs_Usage_Report
CMDB_Appl,NodeID,CNTRLM_Appl,Mon[04-Apr-16],Tue[05-Apr-16],Wed[06-Apr-16],Thu[07-Apr-16],Fri[08-Apr-16],Sat[09-Apr-16],Sun[10-Apr-16] 
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3g,CTM_EXPLOIT,1,0,0,0,0,0,0
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3g,SAP_P3G,5,5,5,5,5,6,5
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3g,SAP_P3G_ALL,1,1,1,1,1,1,1
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3g,SAP_P3G_DEU,8,8,12,12,12,12,8
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3g,SAP_P3G_FICO,0,0,0,0,4,0,0
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3g,SAP_P3G_INT,4,6,4,4,4,3,4
TE MS - PRODUCTION SYSTEM - P3B/P3G,sapp3g,SAP_P3G_NTK,353,341,343,352,329,275,274
MISCELLANEOUS,NONODES,SAP_P3A_PUR,1,1,1,1,1,1,1
MISCELLANEOUS,NONODES,cm70p704,0,0,0,0,0,0,1
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod704,CTM_EXPLOIT,51,51,51,51,51,51,51
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod704,CTM_PLAN,16,16,16,16,16,16,16
TOTAL RC - PRODUCTION P3A,sapp3a,CTM_P3A,39,39,38,38,37,40,38
TOTAL RC - PRODUCTION P3A,sapp3a,SAP_P3A_ABSM,65,65,65,65,65,64,65
TOTAL RC - PRODUCTION P3A,sapp3a,SAP_P3A_CRM,0,0,0,0,0,0,2
TOTAL RC - PRODUCTION P3A,sapp3a,SAP_P3A_DW,12,12,12,12,12,12,12
TOTAL RC - PRODUCTION P3A,sapp3a,SAP_P3A_FICO,187,183,183,183,184,78,117
